Date,Open,High,Low,Close,Adj Close,Volume
1/2/2020,59.6875,59.97750092,59.18000031,59.97750092,59.74124527,23753600
1/3/2020,58.77500153,59.45750046,58.52500153,59.01750183,58.78502274,20538400
1/6/2020,58.08000183,59.31750107,57.81750107,59.26499939,59.03154755,26263600
1/7/2020,59.54999924,60.44250107,59.09749985,59.98249817,59.74621964,31485600
1/8/2020,59.93999863,60.50999832,59.53749847,60.09500122,59.85828018,27710800
1/9/2020,60.96250153,61.48249817,60.21500015,60.75500107,60.51568222,25511200
1/10/2020,61.83250046,62.13750076,60.9375,61.08000183,60.83939743,31629600
1/13/2020,61.91500092,63.24750137,61.6875,62.99499893,62.74684525,31984000
1/14/2020,62.56499863,62.81999969,61.6875,61.81999969,61.57648087,35908800
1/15/2020,61.94749832,62.17250061,61.13249969,61.39250183,61.15066147,26310400
1/16/2020,61.93000031,62.29249954,61.69499969,62.23249817,61.98735809,28419200
1/17/2020,62.42499924,62.5,61.84249878,62.31999969,62.07451248,25379200
1/21/2020,61.95249939,62.32249832,61.64250183,61.98500061,61.74082565,21791600
1/22/2020,62.43999863,63.39749908,62.25,62.52750015,62.28118896,23924000
1/23/2020,62.93000031,63.29999924,62.03749847,63.21500015,62.96598053,24451600
1/24/2020,64.375,64.875,62.07500076,62.61999893,62.37332535,37351200
1/27/2020,59.56000137,60.5625,58.05749893,60.04999924,59.81344986,47053600
1/28/2020,60.71250153,62.31750107,60.17750168,61.99250031,61.74830246,31097600
1/29/2020,61.84749985,62.20999908,60.98500061,61.38499832,61.14319229,25884800
1/30/2020,60.40250015,61.58750153,59.84999847,61.45249939,61.21043777,29050400
1/31/2020,60.99250031,61.11249924,58.6875,59.10749817,58.87466812,37042000
2/3/2020,58.92499924,60.27750015,58.86249924,60.08250046,59.84581757,25556400
2/4/2020,61.50749969,61.97499847,61.00500107,61.78250122,61.53913116,27154400
2/5/2020,62.99750137,63.09999847,61.85250092,62.68999863,62.4430542,20822000
2/6/2020,63.03499985,63.5625,62.22000122,63.5625,63.31211853,21828400
2/7/2020,63.15999985,63.38249969,62.64250183,62.89749908,62.64974213,18975200
2/10/2020,63.125,65.75,63.07500076,65.74250031,65.48352814,52960800
2/11/2020,66.83000183,68.125,66.20749664,66.97250366,66.70869446,63855600
2/12/2020,67.50250244,68.19999695,67.11250305,68.13500214,67.8666153,37464400
2/13/2020,67.55249786,68.37000275,67.27749634,67.69499969,67.42832184,52801600
2/14/2020,71.81500244,73.74250031,71.5,72.44750214,72.16210938,104192400
2/18/2020,71.41000366,74.32749939,71.21499634,74.14250183,73.85044098,62016400
2/19/2020,75.37249756,78.85250092,75.37249756,78.67500305,78.36508942,69433200
2/20/2020,78.19249725,79.08000183,74.08750153,77.17500305,76.87099457,81005200
2/21/2020,76.04750061,76.30000305,72.66500092,73.51750183,73.2279129,76818000
2/24/2020,67.54750061,70.46749878,67,68.31999969,68.05088043,85691600
2/25/2020,69.07499695,69.69750214,64.48999786,65.51249695,65.25444031,105549600
2/26/2020,65.51499939,68.86250305,65.5,66.91249847,66.64892578,74773200
2/27/2020,63.72499847,66.75,62.22249985,63.15000153,62.93886948,90641600
2/28/2020,60.61500168,68.11499786,60.44749832,67.51750183,67.29174805,113325200
3/2/2020,69.22499847,69.39749908,65.25,69.10749817,68.87644958,89074400
3/3/2020,69.66750336,70.26750183,65.61499786,66.47250366,66.25027466,65279200
3/4/2020,67.55000305,71.22250366,66.80000305,71.12750244,70.88969421,59740800
3/5/2020,69.125,70.80000305,67.875,68.32250214,68.09405518,54032800
3/6/2020,66.51999664,67.09750366,64.5,66.51000214,66.28764343,51541200
3/9/2020,59.97499847,64.84999847,59.54499817,61.36000061,61.15485382,61416000
3/10/2020,64.13500214,65.26999664,61.49750137,65.26999664,65.05177307,58064800
3/11/2020,63.86500168,64.15000153,60.64250183,61.61750031,61.41148758,49996400
3/12/2020,56.36500168,59.02999878,53.95000076,54.07749939,53.896698,81654000
3/13/2020,57.625,60.25500107,54.90250015,60.20999908,60.0086937,63483600
3/16/2020,53.10250092,56.52500153,48.5,49.09999847,48.93583298,72697200
3/17/2020,50.22750092,55.21500015,47.75,54.31750107,54.13589096,83363200
3/18/2020,50.02500153,52.48500061,45.16999817,50.70500183,50.53548431,87426800
3/19/2020,50.49000168,54.18249893,48.34749985,53.24250031,53.06449127,76551200
3/20/2020,54.75,57.58000183,51.28250122,51.4375,51.26551819,80463600
3/23/2020,51.42750168,54.11999893,49.63000107,53.17250061,52.99472427,64387600
3/24/2020,57.25,63.16500092,57.01250076,62.29499817,62.08672333,110164400
3/25/2020,63.45000076,65.45500183,60.91500092,61.40499878,61.19970322,79343200
3/26/2020,63.48500061,65.55500031,62.5,64.30999756,64.09497833,69610800
3/27/2020,62.5,65.77999878,62.16999817,63.18249893,62.97126389,63882800
3/30/2020,63.84000015,66.48999786,63.39749908,66.39749908,66.17549896,60225200
3/31/2020,66.80000305,68.84999847,64.4375,65.90000153,65.67967224,94996000
4/1/2020,63.91249847,65.38249969,60.31999969,60.76750183,60.56432724,65691200
4/2/2020,61.06000137,64,60.57749939,63.86750031,63.653965,67576400
4/3/2020,63.49000168,63.90750122,59.59749985,60.97750092,60.77363205,66321200
4/6/2020,63.81000137,67.47000122,63.23249817,67.09999847,66.87566376,72788400
4/7/2020,69.32499695,69.5625,64.32499695,64.75749969,64.54097748,78452000
4/8/2020,65.85250092,66.98750305,65.15000153,66.73750305,66.51438141,54244400
4/9/2020,68,68.23000336,65.10500336,65.73750305,65.51771545,52556400
4/13/2020,65.13749695,67.55000305,64.25,67.46250153,67.23696136,39840800
4/14/2020,68.75,71.33000183,68.47250366,70.98750305,70.75016022,53094800
4/15/2020,69.30000305,71.04250336,68.84500122,70.20999908,69.9752655,36614800
4/16/2020,71.76999664,74.75,71.63749695,73.67500305,73.42868805,74562000
4/17/2020,74.5,74.71499634,71.73500061,73.08000183,72.83566284,53912000
4/20/2020,71.80999756,73.375,71.31749725,71.76249695,71.52258301,44938800
4/21/2020,70.57749939,71.19249725,66.77749634,67.37750244,67.15224457,73516000
4/22/2020,69.30750275,71.96749878,68.84999847,71.53749847,71.29830933,48335600
4/23/2020,71.95999908,73.28500366,70.75,71.00250244,70.76511383,42416000
4/24/2020,70.90000153,72.41750336,70.15000153,72.39749908,72.15543365,35232800
4/27/2020,73.74749756,75.875,73.5,74.26999664,74.02167511,47938800
4/28/2020,75.75,76.05000305,72.78500366,72.83999634,72.59645844,44290400
4/29/2020,74.19249725,75.14499664,73.4375,74.61499786,74.36553192,37916000
4/30/2020,74.07250214,74.61499786,72.93000031,73.06999969,72.82569885,37591600
5/1/2020,71.08750153,72.22499847,70.20999908,70.69499969,70.45863342,34209600
